NumberPlate,Color,Brand,OwnerName
MH13BN8454,White,Audi,Mr. X
DL12CC7927,Grey,,Mr. Abhinav
KL59L4465,White,,Mr. Sahil
MH02DZ1061,White,,Mr. Rohan
PB11BW0260,White,,Mr. Kunal
MHAJ5887,White,,Mr. Rohit
UP32CJ8469,Red,,Mr. Soham
DL1RT6765,White,,Mr. Mohit
KA29Z999,Grey,,Mr. Saurav
MH04BY65,Silver,,Mr. Sujal
MH46P6924,Grey,,Mr. Himanshu
MH43AT1054,White,,Mr. Ansh
MH43D8544,Silver,,Mr. Aayush
MH43X2831,Blue,,Mr. Sarthak
MH05CV1640,White,,Mr. Shubham
MH01AC7791,White,,Mr. Tarun
MH02CH5154,Red,,Mr. Yash
MH03CS0378,Red,,Mr. Harsh
MH43BE3430,White,,Mr. Gaurav
MH02BM5167,Silver,,Mr. Pranit
MH46A802,Red,,Mr. Mridul
MH43AR2060,White,,Mr. Anubhav
MH43D9740,White,,Mr. Aryan
HR10AB3784,Blue,,Mr. Kshitij
MH46X3802,Grey,,Mr. Vivek
MH05BL1659,White,,Mr. Jatin
TS08FS8800,White,,Mr. Ankit
MH46AP8611,White,,Mr. Rohit
MH43AT8022,White,,Mr. Suraj
MH02CL3020,Grey,,Mr. Piyush
MH43AB4334,White,,Mr. Kunal
KA04MM8261,Orange,,Mr. Deepak
MH43BK5376,Grey,,Mr. Divesh
MH02BJ3640,Grey,,Mr. Deepanshu
MH43AN6429,White,,Mr. Praminder
MH12EM8473,Blue,,Mr. Ankit
MH43BK9552,Brown,,Mr. Kaushal
MH46AL6021,Brown,,Mr. Varun
MH43BE3199,White,,Mr. Ajay
MH43X3940,Red,,Mr. Mukul
